Fecha,"General","Subyacente","No_subyacente"
2Q Abr 2010,73.18873555,76.71381215,63.22331699
1Q May 2010,72.79501376,76.83708083,61.4653047
2Q May 2010,72.79242349,76.88791876,61.3215943
1Q Jun 2010,72.76082213,76.91077326,61.14530125
2Q Jun 2010,72.78154433,77.02588099,60.91566881
1Q Jul 2010,72.88929977,77.13363781,61.02216781
2Q Jul 2010,72.96959829,77.12377278,61.34073016
1Q Ago 2010,73.0846065,77.19090407,61.58145214
2Q Ago 2010,73.17837445,77.21589646,61.85753901
1Q Sep 2010,73.47314773,77.47139692,62.25265511
2Q Sep 2010,73.55707264,77.49421883,62.49785923
1Q Oct 2010,73.9119403,77.58626963,63.54417802
2Q Oct 2010,74.0259124,77.6756202,63.72287535
1Q Nov 2010,74.53049795,77.81888506,65.1799189
2Q Nov 2010,74.5931826,77.81100579,65.42789269
1Q Dic 2010,74.73720189,78.0484993,65.32396321
2Q Dic 2010,75.12470701,78.25314707,66.19164192
1Q Ene 2011,75.255424,78.41626823,66.23287826
2Q Ene 2011,75.33655869,78.59995553,66.02609414
1Q Feb 2011,75.49131558,78.77499844,66.12482606
2Q Feb 2011,75.6656049,78.87317458,66.51016167
1Q Mar 2011,75.70241601,79.0612737,66.12489517
2Q Mar 2011,75.7437346,79.05745118,66.29205958
1Q Abr 2011,75.67537112,79.09788606,65.91983692
2Q Abr 2011,75.76026203,79.14008661,66.1232833
1Q May 2011,75.19231925,79.19631633,63.81517996
2Q May 2011,75.12545826,79.32339586,63.20787855
1Q Jun 2011,75.08413967,79.35535824,62.96294591
2Q Jun 2011,75.22612537,79.47109234,63.17656184
1Q Jul 2011,75.46351944,79.58459365,63.75806877
2Q Jul 2011,75.56944528,79.59867936,64.12098969
1Q Ago 2011,75.63405253,79.66865837,64.17068389
2Q Ago 2011,75.63705752,79.7053731,64.07803145
1Q Sep 2011,75.79707314,79.87845969,64.20212849
2Q Sep 2011,75.84440171,79.91945738,64.26810773
1Q Oct 2011,76.30942364,80.08225127,65.57461136
2Q Oct 2011,76.35675221,80.12989616,65.6196578
1Q Nov 2011,77.09447683,80.32960987,67.85847122
2Q Nov 2011,77.22218883,80.39955976,68.14775435
1Q Dic 2011,77.61283731,80.67821414,68.85020813
2Q Dic 2011,77.97193341,80.86432369,69.68985506
1Q Ene 2012,78.21984494,81.02332134,70.18624927
2Q Ene 2012,78.46625398,81.24304303,70.5046214
1Q Feb 2012,78.52034377,81.45454173,70.12084766
2Q Feb 2012,78.48353266,81.50181018,69.85000605
1Q Mar 2012,78.52109502,81.63496989,69.62021079
2Q Mar 2012,78.57293107,81.71961907,69.58070693
1Q Abr 2012,78.24538734,81.74247425,68.27480584
2Q Abr 2012,78.35582066,81.85815796,68.37081167
1Q May 2012,77.98169962,81.97538326,66.62709741
2Q May 2012,78.12593906,82.05977218,66.93612621
1Q Jun 2012,78.31450207,82.14375248,67.41563691
2Q Jun 2012,78.5128313,82.24552951,67.88369806
1Q Jul 2012,78.81858886,82.41403822,68.57319349
2Q Jul 2012,78.88920608,82.48722865,68.63491265
1Q Ago 2012,78.99663441,82.61595994,68.68229608
2Q Ago 2012,79.18444618,82.65530022,69.28549183
1Q Sep 2012,79.38202416,82.75324983,69.75988172
2Q Sep 2012,79.49621371,82.81060364,70.03228633
1Q Oct 2012,79.85380732,82.94957931,70.99946545
2Q Oct 2012,79.82751367,82.99136956,70.78402683
1Q Nov 2012,80.45705872,83.13931857,72.75583203
2Q Nov 2012,80.30906304,82.88744473,72.89810513
1Q Dic 2012,80.52917844,83.10183379,73.13396986
2Q Dic 2012,80.60730813,83.12563967,73.361267
1Q Ene 2013,80.7312639,83.27281208,73.42111771
2Q Ene 2013,81.05354889,83.66016614,73.56139639
1Q Feb 2013,81.24661939,83.86360084,73.72381482
2Q Feb 2013,81.33601779,83.91891686,73.90959199
1Q Mar 2013,81.75972114,84.13316624,74.91684401
2Q Mar 2013,82.01514514,84.15414169,75.82545643
1Q Abr 2013,81.93851794,84.19687713,75.40289479
2Q Abr 2013,81.94452792,84.2251241,75.34532496
1Q May 2013,81.66130777,84.34523957,73.89436105
2Q May 2013,81.67633271,84.40928127,73.7685881
1Q Jun 2013,81.63801911,84.46902451,73.44673127
2Q Jun 2013,81.59970551,84.50212334,73.20144777
1Q Jul 2013,81.59970551,84.53183973,73.11577504
2Q Jul 2013,81.58392932,84.49669203,73.15451867
1Q Ago 2013,81.79653224,84.58517792,73.72699443
2Q Ago 2013,81.85212453,84.59609909,73.91234396
1Q Sep 2013,82.12858345,84.85127339,74.24958661
2Q Sep 2013,82.13684717,84.87803537,74.20293439
1Q Oct 2013,82.46664463,84.99351602,75.15513223
2Q Oct 2013,82.57933169,85.06184986,75.39405427
1Q Nov 2013,83.2817477,85.15671458,77.85739567
2Q Nov 2013,83.30203137,85.12861375,78.01710217
1Q Dic 2013,83.63783881,85.38807167,78.57295821
2Q Dic 2013,83.90302903,85.45536702,79.411025
1Q Ene 2014,84.47022057,86.04594386,79.90919386
2Q Ene 2014,84.56788269,86.25385439,79.6879074
1Q Feb 2014,84.66854979,86.35607006,79.7863857
2Q Feb 2014,84.79701304,86.42904999,80.07467306
1Q Mar 2014,84.94350622,86.52199321,80.37711598
2Q Mar 2014,84.9863273,86.63424554,80.21694706
1Q Abr 2014,84.82856542,86.86176078,78.94447719
2Q Abr 2014,84.78574434,86.79841294,78.96063377
1Q May 2014,84.47322555,86.84674251,77.60431996
2Q May 2014,84.59868382,86.9763667,77.7169581
1Q Jun 2014,84.6670473,87.07704084,77.69306497
2Q Jun 2014,84.69709718,87.11546711,77.69787753
1Q Jul 2014,84.86462528,87.23757786,77.99700826
2Q Jul 2014,84.96529239,87.28231807,78.25938946
1Q Ago 2014,85.12605926,87.41060741,78.51560957
2Q Ago 2014,85.31311978,87.47982441,79.04253949
1Q Sep 2014,85.5895787,87.68898143,79.51551603
2Q Sep 2014,85.60310115,87.71385448,79.49488714
1Q Oct 2014,86.02905824,87.81539792,80.85839191
2Q Oct 2014,86.11019292,87.87957359,80.9911016
1Q Nov 2014,86.74499669,87.98980556,83.14177579
2Q Nov 2014,86.7833103,87.9886812,83.29526823
1Q Dic 2014,87.14315764,88.17284767,84.16281182
2Q Dic 2014,87.23556103,88.21414921,84.40468228
1Q Ene 2015,87.07254042,88.13321361,84.00360005
2Q Ene 2015,87.14691388,88.19564284,84.11337698
1Q Feb 2015,87.23856602,88.44198025,83.75653411
2Q Feb 2015,87.31143699,88.48637261,83.91211626
1Q Mar 2015,87.46844762,88.61676072,84.14502221
2Q Mar 2015,87.79223511,88.77556059,84.94837377
1Q Abr 2015,87.3963279,88.79842225,83.33869153
2Q Abr 2015,87.41210409,88.8700983,83.19331306
1Q May 2015,86.94858465,88.90023713,81.30187885
2Q May 2015,86.98539576,88.9739762,81.23119689
1Q Jun 2015,87.10033656,89.08574173,81.35636296
2Q Jun 2015,87.12512771,89.16014532,81.23487546
1Q Jul 2015,87.20701364,89.24830212,81.29944809
2Q Jul 2015,87.27537713,89.30517544,81.40118894
1Q Ago 2015,87.37604423,89.41378927,81.47807733
2Q Ago 2015,87.47370635,89.4982037,81.61435235
1Q Sep 2015,87.75392151,89.74106199,82.00310691
2Q Sep 2015,87.75091652,89.83446158,81.72024818
1Q Oct 2015,88.15658994,89.97455997,82.89462242
2Q Oct 2015,88.25199832,90.05249095,83.04153804
1Q Nov 2015,88.71176152,90.05434205,84.82593369
2Q Nov 2015,88.65992548,90.03602064,84.67858981
1Q Dic 2015,88.88830459,90.28066696,84.85879796
2Q Dic 2015,89.2045796,90.36070646,85.86004074
1Q Ene 2016,89.22861951,90.43131805,85.74822064
2Q Ene 2016,89.54414328,90.55865534,86.60908147
1Q Feb 2016,89.79956728,90.76338076,87.01213409
2Q Feb 2016,89.7552437,90.87547981,86.51455856
1Q Mar 2016,89.84163712,91.14860514,86.06124249
2Q Mar 2016,89.97761284,91.14089457,86.61100104
1Q Abr 2016,89.6673478,91.27496631,85.0151107
2Q Abr 2016,89.58395937,91.41653717,84.28061634
1Q May 2016,89.15048981,91.49217167,82.37527023
2Q May 2016,89.29998798,91.58982929,82.67340276
1Q Jun 2016,89.32027165,91.73877619,82.32247418
2Q Jun 2016,89.32778412,91.80891954,82.14763886
1Q Jul 2016,89.57569565,91.91405973,82.80923353
2Q Jul 2016,89.53888455,91.94698709,82.56968139
1Q Ago 2016,89.81985095,92.06749236,83.31556213
2Q Ago 2016,89.79881603,92.14194013,83.01854666
1Q Sep 2016,90.2818679,92.47530315,83.93577618
2Q Sep 2016,90.43361981,92.61149866,84.1305462
1Q Oct 2016,90.87986057,92.76489691,85.42369268
2Q Oct 2016,90.93244786,92.83940094,85.4129937
1Q Nov 2016,91.63411263,93.05495256,87.52331545
2Q Nov 2016,91.59955526,92.96589808,87.64517061
1Q Dic 2016,91.98043753,93.40048192,87.87020678
2Q Dic 2016,92.09838332,93.45019664,88.18585589
1Q Ene 2017,93.49194663,93.79275153,92.6214344
2Q Ene 2017,93.71581826,94.13952241,92.48890509
1Q Feb 2017,94.02833704,94.57520046,92.44764536
2Q Feb 2017,94.26122363,94.79331026,92.72072686
1Q Mar 2017,94.59177234,95.0893502,93.15274861
2Q Mar 2017,94.85245508,95.36368846,93.3745461
1Q Abr 2017,94.70971813,95.61569369,92.0877451
2Q Abr 2017,94.96814712,95.69396396,92.86757791
1Q May 2017,94.64736463,95.83889874,91.20049888
2Q May 2017,94.80362402,95.99731025,91.34919471
1Q Jun 2017,94.94711221,96.16144717,91.43399515
2Q Jun 2017,94.97941583,96.2586575,91.27932914
1Q Jul 2017,95.20328746,96.43688002,91.63240402
2Q Jul 2017,95.44293527,96.49865973,92.38759108
1Q Ago 2017,95.73742412,96.69048296,92.97972177
2Q Ago 2017,95.84935994,96.73487018,93.28835939
1Q Sep 2017,96.17615241,97.00326385,93.78386475
2Q Sep 2017,96.01012681,96.96797919,93.23934218
1Q Oct 2017,96.60436324,97.16927572,94.97033996
2Q Oct 2017,96.79142376,97.29169247,95.34478381
1Q Nov 2017,97.67714406,97.56355731,98.00781703
2Q Nov 2017,97.71245267,97.56692678,98.13360559
1Q Dic 2017,98.13765851,97.98163521,98.58879021
2Q Dic 2017,98.40810746,97.96638876,99.68753895
1Q Ene 2018,98.64249654,98.13193417,100.1198011
2Q Ene 2018,98.94750285,98.37209385,100.6131578
1Q Feb 2018,99.15033956,98.66494111,100.5552656
2Q Feb 2018,99.19316065,98.79843493,100.3361773
1Q Mar 2018,99.48539576,99.03102439,100.8014366
2Q Mar 2018,99.49816696,99.08368993,100.6985714
1Q Abr 2018,99.1540958,99.15360166,99.1550128
2Q Abr 2018,99.15634954,99.25281098,98.87913932
1Q May 2018,98.86787067,99.37921879,97.38945912
2Q May 2018,99.12104093,99.53700444,97.91669672
1Q Jun 2018,99.25401166,99.61621127,98.20746795
2Q Jun 2018,99.4989182,99.76044275,98.74228862
1Q Jul 2018,99.81894946,99.94858389,99.44355971
2Q Jul 2018,100,100,100
1Q Ago 2018,100.343,100.1754281,100.8624289
2Q Ago 2018,100.641,100.265259,101.801187
1Q Sep 2018,100.865,100.4547173,102.1323039
2Q Sep 2018,100.97,100.6348288,102.0042963
1Q Oct 2018,101.372,100.8053898,103.1218913
2Q Oct 2018,101.509,100.9078215,103.3682697
1Q Nov 2018,102.132,101.1014457,105.3182727
2Q Nov 2018,102.473,101.1194401,106.6570927
1Q Dic 2018,103.049,101.5458776,107.6934165
2Q Dic 2018,102.992,101.6190724,107.2351536
1Q Ene 2019,103.105,101.7020737,107.4408017
2Q Ene 2019,103.112,101.8675175,106.9576083
1Q Feb 2019,103.009,102.1280644,105.7310333
2Q Feb 2019,103.15,102.3202809,105.7131444
1Q Mar 2019,103.415,102.5033595,106.2340438
2Q Mar 2019,103.537,102.6489211,106.2810362
1Q Abr 2019,103.501,103.0557493,104.8765099
2Q Abr 2019,103.562,103.0308194,105.2021837
1Q May 2019,103.25,103.1253191,103.6366904
2Q May 2019,103.216,103.2991774,102.9579385
1Q Jun 2019,103.225,103.4694924,102.4689125
2Q Jun 2019,103.373,103.5816311,102.7289086
1Q Jul 2019,103.654,103.7553053,103.3418557
2Q Jul 2019,103.72,103.8335051,103.3702042
1Q Ago 2019,103.642,103.9514826,102.6847154
2Q Ago 2019,103.697,104.0592888,102.5784069
1Q Sep 2019,103.877,104.2538037,102.7117279
2Q Sep 2019,104.007,104.3768226,102.8658839
1Q Oct 2019,104.42,104.5109302,104.1382729
2Q Oct 2019,104.587,104.6331258,104.4439953
1Q Nov 2019,105.299,104.7982921,106.8471368
2Q Nov 2019,105.393,104.8090243,107.1994161
1Q Dic 2019,105.763,105.1910068,107.5294052
2Q Dic 2019,106.105,105.276582,108.6637713
1Q Ene 2020,106.388,105.4906627,109.161049
2Q Ene 2020,106.506,105.6635348,109.1098645
1Q Feb 2020,106.636,105.8919391,108.9359363
2Q Feb 2020,107.141,106.0309216,110.5723792
1Q Mar 2020,107.254,106.1960163,110.5234098
2Q Mar 2020,106.422,106.3488906,106.6495467
1Q Abr 2020,105.655,106.562215,102.852273
2Q Abr 2020,105.854,106.745639,103.1000149
1Q May 2020,106.167,107.0044889,103.5775196
2Q May 2020,106.158,106.9402912,103.7409843
1Q Jun 2020,106.495,107.2556949,104.1424738
2Q Jun 2020,106.991,107.4760976,105.4897628
1Q Jul 2020,107.371,107.7418367,106.2228193
2Q Jul 2020,107.517,107.8401068,106.5192298
1Q Ago 2020,107.777,108.0346183,106.9817346
2Q Ago 2020,107.956,108.2302894,107.1099917
1Q Sep 2020,108.132,108.4089752,107.2750771
2Q Sep 2020,108.097,108.5384734,106.7323872
1Q Oct 2020,108.686,108.6954781,108.657978
2Q Oct 2020,108.862,108.7714175,109.1437182
1Q Nov 2020,108.91,108.6552882,109.6962683
2Q Nov 2020,108.801,108.6283744,109.3356729
1Q Dic 2020,109.168,109.1948913,109.083505
2Q Dic 2020,109.374,109.2785303,109.6696712
